Date,Sales
26-12-2015,78.6
26-12-2015,27.552
28-10-2017,32.4
28-10-2017,1082.48
28-10-2017,56.91
28-10-2017,77.6
28-10-2017,14.28
19-11-2018,219.075
04-05-2016,26.8
30-12-2015,9.84
01-06-2015,45.48
01-06-2015,289.2
15-04-2018,4.89
12-09-2017,15.136
12-09-2017,466.768
12-09-2017,15.232
12-09-2017,6.264
27-09-2015,87.54
09-08-2015,178.384
09-08-2015,15.552
28-12-2015,99.136
04-11-2015,135.882
04-11-2015,3991.98
04-11-2015,275.94
04-11-2015,360
04-11-2015,43.57
19-09-2015,7.16
23-04-2017,251.52
23-04-2017,99.99
03-11-2018,15.992
30-08-2017,290.898
30-08-2017,54.224
30-08-2017,786.744
30-08-2017,100.24
30-08-2017,37.764
25-04-2017,82.8
25-04-2017,20.724
25-04-2017,4.896
01-09-2016,4.752
01-09-2016,959.984
01-09-2016,14.368
12-07-2015,7.712
12-07-2015,698.352
22-06-2016,4.96
13-04-2015,17.856
13-04-2015,509.97
13-04-2015,30.992
13-04-2015,71.928
20-12-2016,88.8
15-06-2018,47.976
08-07-2018,7.56
08-07-2018,24.56
08-07-2018,12.96
01-09-2017,6.79
01-09-2017,24.56
01-09-2017,3.048
01-09-2017,49.12
01-09-2017,4355.168
08-04-2017,388.704
08-04-2017,8.26
08-04-2017,17.04
08-04-2017,34.4
23-04-2017,36.24
08-03-2018,647.84
08-03-2018,20.7
25-09-2018,20.7
25-09-2018,488.646
25-09-2018,5.56
25-09-2018,47.12
24-09-2015,211.96
21-10-2017,23.2
21-10-2017,7.36
21-10-2017,104.79
21-10-2017,1043.92
29-05-2018,25.92
29-05-2018,53.424
23-07-2015,8.16
23-07-2015,1023.936
23-07-2015,9.24
23-07-2015,479.04
28-09-2017,99.136
27-08-2018,1488.424
28-04-2016,8.652
28-04-2016,23.832
28-04-2016,12.176
28-10-2017,50.96
28-10-2017,49.536
26-06-2016,41.9
27-11-2016,375.4575
27-11-2016,83.976
03-12-2016,482.34
03-12-2016,2.96
24-11-2015,2.624
11-12-2018,23.36
11-12-2018,39.98
21-09-2015,246.384
21-09-2015,1799.97
07-06-2015,12.462
30-06-2018,75.792
17-10-2018,49.96
17-10-2018,12.96
31-10-2016,70.12
08-09-2017,35.952
08-09-2017,2396.2656
08-09-2017,131.136
08-09-2017,57.584
24-12-2015,9.568
16-04-2015,39.072
24-12-2018,35.91
08-12-2018,179.95
08-12-2018,1199.976
08-12-2018,27.15
08-12-2018,1004.024
08-12-2018,9.68
08-12-2018,28.35
08-12-2018,55.98
08-12-2018,1336.829
08-12-2018,113.568
03-11-2018,139.86
03-11-2018,307.136
24-06-2018,95.92
14-04-2017,383.8
06-11-2018,5.78
04-03-2018,9.32
04-03-2018,15.25
22-06-2015,196.752
19-10-2018,56.56
19-10-2018,32.7
21-08-2018,866.4
23-11-2018,28.4
23-11-2018,287.92
12-09-2015,69.99
01-10-2018,6.672
15-04-2017,189.588
15-04-2017,408.744
15-04-2017,291.96
15-04-2017,4.768
06-06-2017,714.3
19-12-2015,4.812
19-12-2015,247.8
12-06-2017,1007.979
12-06-2017,313.488
15-09-2018,31.872
20-01-2018,207.846
05-09-2017,12.22
05-09-2017,194.94
05-09-2017,70.95
05-09-2017,91.36
05-09-2017,242.94
05-09-2017,22.05
20-03-2018,2.91
01-04-2017,59.52
01-04-2017,161.94
01-04-2017,263.88
01-04-2017,30.48
01-04-2017,9.84
01-04-2017,35.12
20-10-2018,284.364
20-10-2018,665.408
13-12-2017,63.88
12-02-2015,129.568
26-09-2017,747.558
26-09-2017,8.928
15-12-2016,103.92
15-12-2016,899.91
15-12-2016,51.312
22-04-2017,23.56
22-04-2017,1272.63
22-04-2017,28.485
22-04-2017,185.376
22-04-2017,78.272
17-01-2016,254.744
31-03-2018,205.3328
16-12-2017,4.788
20-12-2016,55.48
09-11-2015,340.92
09-11-2015,222.666
09-11-2015,703.968
09-11-2015,92.52
09-11-2015,62.65
09-11-2015,94.85
12-07-2017,95.76
27-10-2017,40.2
26-06-2017,14.7
26-06-2017,704.25
06-10-2015,9.09
22-07-2015,5.96
22-07-2015,159.98
10-06-2018,29.6
10-06-2018,514.165
10-06-2018,279.96
29-10-2015,2735.952
09-06-2015,7.992
09-06-2015,63.984
09-06-2015,70.368
14-09-2015,449.15
14-09-2015,11.07
09-05-2017,93.98
18-03-2017,189.882
27-12-2016,105.42
25-07-2017,119.616
25-07-2017,255.76
25-07-2017,241.568
25-07-2017,69.3
30-05-2017,22.62
30-05-2017,14.952
30-05-2017,801.568
30-05-2017,2.376
30-05-2017,32.792
12-11-2018,15.92
16-03-2016,2.74
16-03-2016,8.34
16-03-2016,46.74
16-03-2016,6354.95
26-11-2018,126.3
26-11-2018,38.04
20-10-2017,7.152
21-12-2018,6.63
21-12-2018,5.88
22-01-2018,2999.95
22-01-2018,51.45
22-01-2018,11.96
22-01-2018,1126.02
22-03-2016,18.392
22-03-2016,129.568
22-03-2016,14.112
23-01-2018,210.98
21-05-2017,55.176
21-05-2017,66.26
26-12-2016,22.2
21-10-2018,683.952
21-10-2018,45.696
03-09-2016,36.336
03-09-2016,666.248
03-09-2016,52.512
07-11-2016,190.72
07-09-2018,47.94
29-05-2017,979.95
29-05-2017,22.75
10-07-2017,16.768
03-09-2018,42.616
03-12-2016,10.752
07-12-2016,152.94
07-12-2016,283.92
01-02-2015,468.9
14-07-2017,380.864
18-12-2016,646.776
11-05-2015,58.112
11-05-2015,100.792
11-05-2015,66.112
19-11-2018,41.28
19-11-2018,13.36
15-11-2016,250.272
15-11-2016,11.364
15-11-2016,8.72
15-04-2017,1121.568
11-09-2018,34.504
24-11-2018,10.824
29-06-2018,1295.78
03-03-2015,19.456
10-06-2017,20.7
10-06-2017,1335.68
10-06-2017,32.4
20-11-2018,42.6
20-11-2018,84.056
14-09-2015,13
14-09-2015,13.128
07-12-2016,3.96
07-12-2016,2.61
07-12-2018,374.376
01-10-2018,91.84
01-10-2018,81.088
01-10-2018,19.44
01-10-2018,451.152
28-12-2018,72.45
28-12-2018,13.96
28-12-2018,33.264
28-12-2018,14.85
03-11-2017,8.82
18-09-2016,160.72
18-09-2016,19.92
18-09-2016,7.3
20-07-2018,69.712
20-07-2018,8.792
10-09-2016,51.52
01-12-2018,470.376
01-12-2018,105.584
01-12-2018,31.152
01-12-2018,6.783
01-12-2018,406.368
03-07-2016,70.98
03-07-2016,294.93
20-03-2017,84.784
20-03-2017,20.736
20-03-2017,16.821
20-03-2017,10.368
09-01-2015,9.344
09-01-2015,31.2
08-08-2015,76.12
08-08-2015,1199.976
08-08-2015,445.96
08-08-2015,327.76
14-07-2017,11.632
16-07-2017,143.982
16-07-2017,494.376
16-07-2017,5.84
15-03-2015,142.776
15-03-2015,45.696
15-03-2015,7.218
15-03-2015,43.188
15-03-2015,131.904
23-05-2015,3.282
23-05-2015,21.168
23-05-2015,55.188
28-04-2017,369.576
28-04-2017,15.712
11-09-2017,8.448
11-09-2017,728.946
14-11-2018,119.94
14-11-2018,3.648
18-08-2018,40.48
18-08-2018,9.94
18-08-2018,107.424
18-08-2018,37.91
18-08-2018,88.02
26-12-2015,8.69
29-11-2016,301.96
29-11-2016,555.21
29-11-2016,523.48
29-11-2016,161.82
15-09-2018,35.56
19-05-2018,97.16
17-12-2018,15.24
17-12-2018,13.23
11-12-2017,243.384
11-12-2017,119.8
11-12-2017,300.768
24-09-2018,17.88
24-09-2018,235.944
04-10-2016,392.94
15-08-2017,18.882
15-08-2017,122.328
20-05-2017,1049.2
20-05-2017,15.424
18-12-2017,18.84
30-07-2018,330.4
30-07-2018,26.25
10-06-2018,132.52
21-07-2018,6.48
30-12-2018,209.3
01-04-2017,31.56
01-04-2017,30.144
11-12-2017,14.8
11-12-2017,302.376
11-12-2017,316
23-10-2017,379.4
19-06-2018,97.82
19-06-2018,103.12
22-08-2017,113.552
22-08-2017,3.318
22-08-2017,134.288
19-09-2017,701.372
19-09-2017,2.308
24-08-2016,999.432
24-08-2016,724.08
24-08-2016,918.785
24-08-2016,2.724
26-03-2017,459.95
04-11-2017,10.74
08-06-2018,23.76
08-06-2018,85.056
08-06-2018,381.576
24-12-2015,30.36
09-06-2018,23.976
09-06-2018,108.925
09-06-2018,36.352
15-06-2018,19.56
05-12-2018,61.44
05-12-2018,38.9
05-12-2018,99.39
18-03-2018,2.688
18-03-2018,27.816
18-03-2018,82.524
18-03-2018,182.994
19-11-2017,14.352
19-11-2017,64.96
19-11-2017,68.6
04-11-2018,7999.98
04-11-2018,167.44
05-07-2015,479.97
05-07-2015,14.62
05-07-2015,19.44
25-12-2018,191.984
21-06-2015,104.01
21-06-2015,284.82
21-06-2015,36.84
28-03-2016,166.24
28-03-2016,33.4
14-05-2016,198.272
14-05-2016,47.36
14-05-2016,200.984
14-05-2016,97.696
14-05-2016,2.696
14-05-2016,18.588
14-05-2016,4.896
02-09-2018,15.072
04-11-2017,209.88
09-04-2016,369.912
12-09-2015,10.368
12-09-2015,166.84
12-09-2015,15.216
02-12-2015,119.96
02-12-2015,883.92
02-12-2015,46.72
05-04-2015,55.48
03-09-2018,24.448
19-05-2018,281.34
19-05-2018,307.98
19-05-2018,299.97
01-07-2015,19.92
11-01-2015,9.94
24-09-2018,103.056
02-06-2015,59.808
02-06-2015,73.32
13-02-2017,146.82
15-12-2017,1652.94
15-12-2017,296.37
07-10-2015,129.92
07-07-2017,45.584
16-09-2018,17.568
16-09-2018,55.992
03-12-2017,182.72
03-12-2017,400.032
03-12-2017,33.63
03-12-2017,542.646
03-12-2017,6.3
21-01-2018,242.94
21-01-2018,179.97
21-01-2018,99.696
21-01-2018,27.936
21-01-2018,84.98
21-01-2018,18.72
08-09-2015,49.98
04-01-2015,11.784
04-01-2015,272.736
04-01-2015,3.54
27-08-2017,51.52
27-08-2017,3.528
27-08-2017,4.624
27-08-2017,55.168
27-05-2015,567.12
27-05-2015,359.32
20-03-2017,11.992
02-10-2018,58.05
02-10-2018,157.74
02-10-2018,56.98
02-10-2018,2.88
07-04-2017,1199.976
07-12-2016,79.92
18-09-2017,383.438
29-12-2015,24.56
29-12-2015,119.8
23-07-2018,13.128
18-09-2018,22.72
31-08-2016,58.32
03-11-2018,12.39
08-02-2016,107.982
13-01-2015,11.36
13-01-2015,50.94
13-01-2015,646.74
13-01-2015,5.64
13-01-2015,572.58
14-05-2015,310.88
19-05-2017,641.96
30-01-2018,18.28
30-01-2018,207
30-01-2018,32.35
30-01-2018,7.71
30-01-2018,40.3
30-01-2018,34.58
29-06-2015,32.76
21-08-2016,544.008
21-08-2016,59.94
21-08-2016,23.92
21-08-2016,4.28
03-10-2016,32.07
03-10-2016,24
03-10-2016,35.49
03-10-2016,47.984
23-05-2016,186.69
17-03-2018,17.456
12-12-2016,348.928
26-06-2016,143.96
26-06-2016,15.42
26-06-2016,43.04
26-06-2016,332.94
20-05-2017,1363.96
20-09-2015,9.96
20-09-2015,21.72
21-09-2018,20.16
24-12-2016,132.79
24-12-2016,12.96
24-12-2016,21.56
27-11-2016,283.92
20-02-2018,22.23
20-02-2018,215.968
18-08-2017,355.32
12-03-2017,12.96
22-04-2018,18.28
01-11-2015,43.176
01-11-2015,1983.968
03-02-2016,28.4
03-02-2016,149.97
13-10-2015,11.52
13-10-2015,1298.55
13-10-2015,213.92
13-10-2015,25.78
14-05-2018,18.28
14-05-2018,1399.93
20-03-2016,51.84
15-09-2017,5.344
28-06-2015,41.472
28-06-2015,3.168
28-06-2015,1228.465
28-06-2015,31.086
28-06-2015,335.52
20-06-2018,239.97
20-06-2018,9.82
09-05-2015,67.8
09-05-2015,167.97
21-08-2018,35
21-08-2018,37.24
21-08-2018,15.28
16-06-2018,301.96
16-06-2018,180.66
16-06-2018,191.98
16-06-2018,65.99
23-07-2017,35.216
23-07-2017,23.696
23-07-2017,265.475
08-09-2015,51.184
04-11-2018,9.664
07-03-2017,21.072
20-11-2016,60.45
20-11-2016,11.52
20-11-2016,186.048
07-11-2017,37.44
07-11-2017,26.976
07-11-2017,11.36
07-11-2017,14.62
13-10-2016,83.72
13-10-2016,287.94
01-01-2018,48.896
07-02-2015,115.36
20-06-2017,5.16
20-06-2017,38.88
28-05-2017,185.88
19-02-2017,44.46
19-02-2017,242.94
03-08-2015,39.96
03-08-2015,102.3
03-08-2015,21.36
10-04-2018,7.61
10-04-2018,7.16
09-06-2015,7.36
09-06-2015,23.1
05-01-2017,191.472
05-01-2017,5.248
05-01-2017,59.184
10-01-2015,2.89
10-01-2015,51.94
29-09-2017,15.936
06-04-2015,44.91
03-09-2017,1141.47
03-09-2017,280.782
19-10-2016,34.44
10-12-2015,11.36
10-12-2015,106.344
25-08-2018,192.16
17-01-2017,322.59
17-01-2017,29.99
17-01-2017,371.97
17-09-2015,5.892
30-11-2018,68.472
30-11-2018,1242.9
09-10-2016,30.84
23-12-2018,13.48
22-10-2017,31.4
29-04-2015,17.46
25-04-2016,13.944
26-06-2018,83.76
14-10-2018,37.66
09-12-2015,34.68
20-06-2018,149.95
20-06-2018,51.312
26-06-2018,4.54
26-06-2018,15.92
26-06-2018,543.92
10-11-2017,155.82
10-11-2017,70.008
03-10-2017,15.648
09-09-2015,103.6
29-10-2018,46.96
10-04-2017,8.904
11-11-2018,10.44
11-11-2018,18.336
15-09-2018,323.976
08-04-2017,20.04
08-04-2017,64.96
08-04-2017,12.96
30-12-2018,323.136
30-12-2018,90.93
30-12-2018,52.776
02-09-2018,1199.8
02-09-2018,1928.78
02-09-2018,352.38
31-05-2016,22.2
27-11-2018,46.94
27-11-2018,143.73
15-06-2015,99.918
15-06-2015,797.944
15-06-2015,8.568
05-03-2017,149.352
05-03-2017,12.992
05-12-2015,24.56
11-04-2016,85.14
11-04-2016,21.99
11-04-2016,406.6
15-09-2017,841.568
13-09-2015,15.552
13-09-2015,252
05-10-2016,46.2
05-10-2016,28.84
14-04-2018,14.592
14-04-2018,89.856
14-04-2018,13.872
02-09-2018,12.192
20-06-2017,45.056
20-06-2017,29.718
20-06-2017,15.552
20-06-2017,447.696
05-11-2018,159.99
13-12-2016,12.96
13-12-2016,134.48
19-06-2017,17.12
13-12-2017,6.096
13-12-2017,1114.272
29-05-2016,32.4
29-05-2016,540.57
29-05-2016,167.76
26-07-2016,393.165
28-11-2018,516.488
28-11-2018,1007.232
28-11-2018,2065.32
28-11-2018,15.552
28-11-2018,25.344
03-04-2018,25.472
28-12-2018,27.168
28-12-2018,78.8528
30-11-2018,173.8
15-05-2018,29.592
15-05-2018,4.752
15-05-2018,15.552
22-09-2016,204.6
14-11-2018,321.568
27-11-2016,6.24
01-09-2017,21.88
22-09-2015,4.608
09-04-2018,9.82
09-04-2018,35.97
09-04-2018,12.96
09-04-2018,191.6
09-04-2018,8.64
09-04-2018,501.81
16-01-2015,127.104
16-01-2015,124.2
16-01-2015,18.588
16-01-2015,30.072
05-10-2018,160.93
05-10-2018,75.792
09-07-2018,1.08
07-01-2018,3059.982
30-05-2017,3.282
09-12-2016,34.02
03-10-2017,599.292
11-11-2015,3.392
11-11-2015,559.984
11-11-2015,603.92
29-09-2018,7.968
29-09-2018,27.968
29-09-2018,336.51
10-03-2016,1.112
21-05-2018,520.05
21-05-2018,17.97
29-03-2016,1166.92
09-09-2017,14.624
26-08-2017,10.23
26-08-2017,154.9
21-05-2015,2715.93
21-05-2015,617.97
28-10-2016,10.67
28-10-2016,36.63
28-10-2016,24.1
28-10-2016,33.11
13-11-2017,44.02
31-07-2016,2309.65
31-07-2016,1090.782
31-07-2016,19.44
27-08-2016,484.65
13-11-2016,115.296
06-11-2016,7.08
06-11-2016,4.401
26-12-2018,44.75
01-08-2018,95.984
24-11-2015,151.72
17-06-2018,155.25
17-06-2018,14.03
21-12-2016,1618.37
21-12-2016,99.6
17-09-2016,32.4
06-07-2016,13.96
06-07-2016,155.82
06-07-2016,124.95
06-07-2016,601.65
27-04-2016,22.74
27-04-2016,1267.53
27-04-2016,1379.92
16-06-2016,6.208
17-12-2018,11.808
11-01-2017,15.552
11-01-2017,63.312
11-01-2017,15.588
11-07-2015,177.2
11-07-2015,197.97
11-07-2015,854.94
11-07-2015,124.11
11-07-2015,14.4
20-11-2017,15.696
20-11-2017,2.628
20-11-2017,14.427
22-04-2017,86.62
13-06-2016,36.624
20-11-2018,23.968
20-11-2018,28.728
20-03-2017,697.16
06-09-2017,31.86
06-09-2017,722.352
09-07-2018,8.84
09-07-2018,58.464
12-10-2018,254.604
08-03-2017,1363.96
08-03-2017,102.36
27-05-2015,1113.504
27-05-2015,99.99
03-07-2016,168.464
03-07-2016,6.72
03-07-2016,282.888
04-04-2016,11.16
04-04-2016,108.4
04-04-2016,82.344
04-04-2016,9.088
10-12-2018,19.936
10-12-2018,65.568
24-11-2017,4.416
23-03-2016,107.772
16-04-2016,45.216
16-04-2016,10.416
16-04-2016,7.872
16-04-2016,118.782
16-04-2016,1.448
16-04-2016,55.47
01-10-2017,194.848
28-09-2018,1.744
25-07-2016,25.176
20-11-2016,19.46
28-04-2017,29.472
14-11-2018,8.64
12-11-2017,6.27
12-11-2017,4.368
12-11-2017,31.984
29-09-2017,40.88
23-09-2018,119.96
23-09-2018,31.44
23-09-2018,6.88
29-11-2016,19.92
29-11-2016,1106.91
01-03-2017,836.592
01-03-2017,26.38
01-03-2017,362.92
01-03-2017,4899.93
12-08-2017,6.48
15-08-2017,71.976
15-08-2017,3.15
04-06-2018,31.984
04-06-2018,71.984
06-12-2016,120.15
06-12-2016,219.184
27-12-2016,28.9
27-12-2016,355.96
21-01-2018,348.208
21-01-2018,35.784
25-06-2015,447.84
14-06-2017,7.04
14-06-2017,8.73
14-06-2017,29.29
14-06-2017,8.64
21-04-2018,2.694
21-04-2018,2.934
21-10-2017,22.92
19-11-2017,100.704
19-11-2017,2.328
19-11-2017,10.78
19-11-2017,58.368
19-11-2017,40.968
19-11-2017,71.96
19-11-2017,10.368
19-11-2017,1.192
18-12-2018,46.672
18-12-2018,119.833
18-12-2018,119.98
22-07-2017,6.3
04-09-2016,279.9
04-09-2016,619.95
04-09-2016,4.36
04-09-2016,15.28
20-01-2015,699.93
20-01-2015,22.96
20-01-2015,38.6
20-01-2015,6.63
20-01-2015,23.34
20-01-2015,1067.94
02-03-2016,10.16
02-03-2016,101.88
12-04-2017,343.92
12-04-2017,40.99
12-04-2017,63.9
06-12-2017,19.44
05-06-2017,124.608
05-06-2017,7.56
11-12-2017,85.224
12-11-2017,287.52
12-11-2017,37.68
12-11-2017,19.98
12-11-2017,20.58
12-11-2017,17.38
29-09-2015,204.6
29-09-2015,8.72
29-09-2015,6.48
29-09-2015,686.32
29-09-2015,62.18
04-04-2016,644.076
04-04-2016,5.84
04-04-2016,12.76
04-04-2016,10.95
04-04-2016,599.98
08-05-2016,8.352
31-12-2017,3.64
31-12-2017,159.768
20-12-2015,122.48
20-12-2015,2244.48
20-12-2015,62.31
20-12-2015,455.1
02-07-2017,195.184
29-06-2018,362.94
29-06-2018,11.54
01-09-2015,53.94
03-03-2015,9.99
03-03-2015,125.76
03-03-2015,25.32
04-05-2015,46.8
02-11-2016,447.93
08-12-2018,109.48
08-12-2018,272.94
08-12-2018,19.44
08-12-2018,31.92
10-03-2015,22.38
21-04-2015,16.52
22-10-2016,5.176
22-08-2016,50.112
29-08-2017,27.93
27-12-2015,11.56
01-12-2017,172.5
01-12-2017,179.97
24-04-2017,258.696
21-06-2015,1322.93
21-06-2015,3.76
14-01-2018,21.744
14-01-2018,7.92
24-11-2015,12.096
24-11-2015,485.88
24-11-2015,25.92
24-11-2015,197.58
26-02-2018,81.92
26-02-2018,889.536
26-02-2018,892.224
26-02-2018,223.92
26-02-2018,23.12
15-09-2016,15.552
15-09-2016,15.712
15-09-2016,24.672
15-09-2016,55.968
08-04-2017,431.928
08-04-2017,95.984
08-04-2017,1088.792
18-07-2017,544.008
18-07-2017,1.872
18-07-2017,854.352
18-07-2017,593.568
18-07-2017,338.04
01-08-2018,271.96
14-07-2017,11.21
14-07-2017,9.144
14-07-2017,14.07
14-07-2017,41.86
14-07-2017,8.544
14-07-2017,579.136
09-09-2018,141.372
09-09-2018,3.036
09-09-2018,4.503
09-09-2018,4.672
09-09-2018,95.88
09-09-2018,17.024
09-09-2018,258.696
09-09-2018,1931.958
12-07-2015,249.75
12-07-2015,255.936
04-12-2017,113.79
04-12-2017,78.15
04-12-2017,1.728
04-12-2017,40.56
04-12-2017,182.94
04-12-2017,193.86
06-11-2018,15.28
06-11-2018,8.73
06-11-2018,5.68
31-10-2016,2.78
31-10-2016,79.96
30-05-2017,839.988
28-10-2017,47.952
28-10-2017,37.425
28-10-2017,63.968
28-10-2017,165.048
11-08-2015,12.35
11-08-2015,40.97
11-08-2015,22.96
29-08-2017,22
15-02-2017,398.352
15-02-2017,8.72
14-05-2018,48.69
12-12-2015,764.688
12-12-2015,3610.848
12-12-2015,254.9745
18-12-2018,38.82
18-12-2018,1141.938
18-12-2018,1704.56
18-12-2018,3.2
04-07-2016,1099.96
10-03-2018,5.248
10-03-2018,35.91
10-03-2018,6.696
10-03-2018,43.872
24-12-2017,27.882
24-12-2017,540.048
24-12-2017,255.68
23-10-2018,863.88
28-10-2017,17.616
07-07-2018,17.472
01-10-2017,69.9
01-10-2017,41.85
02-09-2018,6.57
