Date,Sales,,,
17-09-2016,20.1,,,
17-09-2016,73.584,,,
17-09-2016,6.48,,,
31-01-2015,12.96,,,
31-01-2015,53.34,,,
31-01-2015,32.96,,,
06-11-2017,5.682,,,
09-11-2017,96.53,,,
17-06-2017,51.312,,,
06-09-2016,77.88,,,
29-08-2016,64.624,,,
29-08-2016,95.976,,,
29-08-2016,1.788,,,
01-12-2016,23.92,,,
13-11-2015,238.896,,,
13-11-2015,102.36,,,
13-11-2015,36.882,,,
23-11-2017,74.112,,,
23-11-2017,27.992,,,
23-11-2017,3.304,,,
15-10-2015,339.96,,,
25-12-2017,41.96,,,
03-11-2016,75.96,,,
03-11-2016,27.24,,,
25-08-2014,40.096,,,
25-08-2014,4.72,,,
25-08-2014,23.976,,,
25-08-2014,130.464,,,
02-03-2015,787.53,,,
05-04-2015,157.794,,,
12-06-2016,47.04,,,
12-06-2016,30.84,,,
12-06-2016,226.56,,,
12-06-2016,115.02,,,
12-06-2016,68.04,,,
26-12-2014,600.558,,,
20-09-2014,617.7,,,
05-11-2017,2.388,,,
05-11-2017,243.992,,,
06-11-2016,81.424,,,
06-11-2016,238.56,,,
02-02-2017,59.97,,,
02-02-2017,78.304,,,
02-02-2017,21.456,,,
13-10-2016,20.04,,,
13-10-2016,35.44,,,
13-10-2016,11.52,,,
13-10-2016,4.02,,,
13-10-2016,76.176,,,
13-10-2016,65.88,,,
13-10-2016,43.12,,,
05-09-2016,82.8,,,
18-09-2017,8.82,,,
18-09-2017,10.86,,,
18-09-2017,143.7,,,
22-12-2017,839.43,,,
07-09-2015,671.93,,,
22-10-2014,93.888,,,
05-12-2016,384.45,,,
05-12-2016,149.97,,,
05-12-2016,1951.84,,,
05-12-2016,171.55,,,
13-03-2016,157.92,,,
13-03-2016,203.184,,,
31-05-2015,58.38,,,
31-05-2015,105.52,,,
31-05-2015,80.88,,,
28-05-2015,6.63,,,
01-03-2014,457.568,,,
20-11-2016,14.62,,,
20-11-2016,944.93,,,
11-05-2016,5.98,,,
28-12-2015,54.384,,,
16-11-2016,28.4,,,
07-11-2016,27.68,,,
08-09-2014,9.936,,,
08-09-2014,8159.952,,,
08-09-2014,275.928,,,
08-09-2014,1740.06,,,
08-09-2014,32.064,,,
08-09-2014,177.98,,,
08-09-2014,143.976,,,
05-08-2014,20.94,,,
05-08-2014,110.96,,,
05-08-2014,340.144,,,
14-09-2014,52.448,,,
14-09-2014,20.16,,,
21-04-2017,97.264,,,
21-11-2015,396.802,,,
21-11-2015,15.88,,,
15-12-2015,3.28,,,
05-12-2014,24.816,,,
05-12-2014,408.744,,,
19-11-2014,503.96,,,
19-11-2014,149.95,,,
19-11-2014,29,,,
28-11-2016,7.16,,,
26-08-2014,176.8,,,
16-07-2016,37.224,,,
16-07-2016,20.016,,,
12-10-2015,899.136,,,
12-10-2015,71.76,,,
12-10-2015,51.84,,,
12-10-2015,626.352,,,
12-10-2015,19.9,,,
31-10-2015,14.28,,,
21-03-2014,7.408,,,
21-03-2014,6.048,,,
06-11-2017,46.26,,,
06-07-2017,2.946,,,
06-07-2017,16.056,,,
24-06-2017,21.744,,,
03-08-2014,218.75,,,
03-08-2014,2.6,,,
17-12-2017,66.284,,,
03-06-2017,35.168,,,
09-12-2017,444.768,,,
01-12-2017,83.92,,,
01-12-2017,131.98,,,
01-12-2017,15.92,,,
01-12-2017,52.29,,,
01-12-2017,91.99,,,
09-02-2015,20.8,,,
02-01-2015,23.68,,,
02-01-2015,452.45,,,
02-01-2015,62.982,,,
02-01-2015,1188,,,
02-01-2015,89.584,,,
28-10-2016,93.06,,,1038581
28-10-2016,302.376,,,
24-12-2015,5.584,,,
24-12-2015,22.704,,,
24-12-2015,19.776,,,
24-12-2015,72.704,,,
24-12-2015,479.988,,,
24-12-2015,27.168,,,
09-08-2015,2.2,,,
09-08-2015,622.45,,,
09-08-2015,21.98,,,
28-02-2015,161.568,,,
28-02-2015,389.696,,,
13-09-2014,18.648,,,
07-04-2017,233.86,,,
07-04-2017,620.6145,,,
07-04-2017,5.328,,,
07-04-2017,258.072,,,
07-04-2017,617.976,,,
12-11-2017,10.56,,,
04-06-2016,25.92,,,
04-06-2016,419.68,,,
04-06-2016,11.688,,,
04-06-2016,31.984,,,
04-06-2016,177.225,,,
04-06-2016,4.044,,,
04-06-2016,7.408,,,
01-06-2014,2001.86,,,
01-06-2014,166.72,,,
01-06-2014,47.88,,,
01-06-2014,1503.25,,,
01-06-2014,25.92,,,
10-12-2016,321.568,,,
11-09-2016,7.61,,,
11-09-2016,3347.37,,,
10-12-2016,80.58,,,
10-12-2016,361.92,,,
28-11-2015,12.132,,,
28-11-2015,82.368,,,
28-11-2015,53.92,,,
28-11-2015,647.904,,,
01-12-2017,20.37,,,
01-12-2017,221.55,,,
01-12-2017,17.52,,,
08-06-2017,1.624,,,
19-09-2014,3059.982,,,
19-09-2014,2519.958,,,
06-06-2016,328.224,,,
10-11-2015,79.9,,,
16-06-2017,14.016,,,
22-01-2016,7.56,,,
09-12-2017,37.208,,,
09-12-2017,57.576,,,
28-12-2017,725.84,,,
30-07-2015,209.93,,,
30-07-2015,5.28,,,
30-07-2015,10.92,,,
16-09-2017,8.82,,,
16-09-2017,5.98,,,
13-10-2017,11.648,,,
13-10-2017,18.176,,,
13-10-2017,59.712,,,
13-10-2017,24.84,,,
26-09-2015,2.08,,,
26-09-2015,1114.4,,,
02-11-2015,1038.84,,,
26-09-2015,141.76,,,
26-09-2015,239.8,,,
26-09-2015,31.104,,,
18-12-2016,254.058,,,
18-12-2016,194.528,,,
18-12-2016,961.48,,,
20-11-2016,19.096,,,
20-11-2016,18.496,,,
20-11-2016,255.984,,,
20-11-2016,86.97,,,
26-12-2014,300.416,,,
26-12-2014,230.352,,,
26-12-2014,218.352,,,
26-12-2014,78.6,,,
26-12-2014,27.552,,,
28-10-2016,32.4,,,
28-10-2016,1082.48,,,
28-10-2016,56.91,,,
28-10-2016,77.6,,,
28-10-2016,14.28,,,
19-11-2017,219.075,,,
04-05-2015,26.8,,,
30-12-2014,9.84,,,
01-06-2014,45.48,,,
01-06-2014,289.2,,,
15-04-2017,4.89,,,
12-09-2016,15.136,,,
12-09-2016,466.768,,,
12-09-2016,15.232,,,
12-09-2016,6.264,,,
27-09-2014,87.54,,,
09-08-2014,178.384,,,
09-08-2014,15.552,,,
28-12-2014,99.136,,,
04-11-2014,135.882,,,
04-11-2014,3991.98,,,
04-11-2014,275.94,,,
04-11-2014,360,,,
04-11-2014,43.57,,,
19-09-2014,7.16,,,
23-04-2016,251.52,,,
23-04-2016,99.99,,,
03-11-2017,15.992,,,
30-08-2016,290.898,,,
30-08-2016,54.224,,,
30-08-2016,786.744,,,
30-08-2016,100.24,,,
30-08-2016,37.764,,,
25-04-2016,82.8,,,
25-04-2016,20.724,,,
25-04-2016,4.896,,,
01-09-2015,4.752,,,
01-09-2015,959.984,,,
01-09-2015,14.368,,,
12-07-2014,7.712,,,
12-07-2014,698.352,,,
22-06-2015,4.96,,,
13-04-2014,17.856,,,
13-04-2014,509.97,,,
13-04-2014,30.992,,,
13-04-2014,71.928,,,
20-12-2015,88.8,,,
15-06-2017,47.976,,,
08-07-2017,7.56,,,
08-07-2017,24.56,,,
08-07-2017,12.96,,,
01-09-2016,6.79,,,
01-09-2016,24.56,,,
01-09-2016,3.048,,,
01-09-2016,49.12,,,
01-09-2016,4355.168,,,
08-04-2016,388.704,,,
08-04-2016,8.26,,,
08-04-2016,17.04,,,
08-04-2016,34.4,,,
23-04-2016,36.24,,,
08-03-2017,647.84,,,
08-03-2017,20.7,,,
25-09-2017,20.7,,,
25-09-2017,488.646,,,
25-09-2017,5.56,,,
25-09-2017,47.12,,,
24-09-2014,211.96,,,
21-10-2016,23.2,,,
21-10-2016,7.36,,,
21-10-2016,104.79,,,
21-10-2016,1043.92,,,
29-05-2017,25.92,,,
29-05-2017,53.424,,,
23-07-2014,8.16,,,
23-07-2014,1023.936,,,
23-07-2014,9.24,,,
23-07-2014,479.04,,,
28-09-2016,99.136,,,
27-08-2017,1488.424,,,
28-04-2015,8.652,,,
28-04-2015,23.832,,,
28-04-2015,12.176,,,
28-10-2016,50.96,,,
28-10-2016,49.536,,,
26-06-2015,41.9,,,
27-11-2015,375.4575,,,
27-11-2015,83.976,,,
03-12-2015,482.34,,,
03-12-2015,2.96,,,
24-11-2014,2.624,,,
11-12-2017,23.36,,,
11-12-2017,39.98,,,
21-09-2014,246.384,,,
21-09-2014,1799.97,,,
07-06-2014,12.462,,,
30-06-2017,75.792,,,
17-10-2017,49.96,,,
17-10-2017,12.96,,,
31-10-2015,70.12,,,
08-09-2016,35.952,,,
08-09-2016,2396.2656,,,
08-09-2016,131.136,,,
08-09-2016,57.584,,,
24-12-2014,9.568,,,
16-04-2014,39.072,,,
24-12-2017,35.91,,,
08-12-2017,179.95,,,
08-12-2017,1199.976,,,
08-12-2017,27.15,,,
08-12-2017,1004.024,,,
08-12-2017,9.68,,,
08-12-2017,28.35,,,
08-12-2017,55.98,,,
08-12-2017,1336.829,,,
08-12-2017,113.568,,,
03-11-2017,139.86,,,
03-11-2017,307.136,,,
24-06-2017,95.92,,,
14-04-2016,383.8,,,
06-11-2017,5.78,,,
04-03-2017,9.32,,,
04-03-2017,15.25,,,
22-06-2014,196.752,,,
19-10-2017,56.56,,,
19-10-2017,32.7,,,
21-08-2017,866.4,,,
23-11-2017,28.4,,,
23-11-2017,287.92,,,
12-09-2014,69.99,,,
01-10-2017,6.672,,,
15-04-2016,189.588,,,
15-04-2016,408.744,,,
15-04-2016,291.96,,,
15-04-2016,4.768,,,
06-06-2016,714.3,,,
19-12-2014,4.812,,,
19-12-2014,247.8,,,
12-06-2016,1007.979,,,
12-06-2016,313.488,,,
15-09-2017,31.872,,,
20-01-2017,207.846,,,
05-09-2016,12.22,,,
05-09-2016,194.94,,,
05-09-2016,70.95,,,
05-09-2016,91.36,,,
05-09-2016,242.94,,,
05-09-2016,22.05,,,
20-03-2017,2.91,,,
01-04-2016,59.52,,,
01-04-2016,161.94,,,
01-04-2016,263.88,,,
01-04-2016,30.48,,,
01-04-2016,9.84,,,
01-04-2016,35.12,,,
20-10-2017,284.364,,,
20-10-2017,665.408,,,
13-12-2016,63.88,,,
12-02-2014,129.568,,,
26-09-2016,747.558,,,
26-09-2016,8.928,,,
15-12-2015,103.92,,,
15-12-2015,899.91,,,
15-12-2015,51.312,,,
22-04-2016,23.56,,,
22-04-2016,1272.63,,,
22-04-2016,28.485,,,
22-04-2016,185.376,,,
22-04-2016,78.272,,,
17-01-2015,254.744,,,
31-03-2017,205.3328,,,
16-12-2016,4.788,,,
20-12-2015,55.48,,,
09-11-2014,340.92,,,
09-11-2014,222.666,,,
09-11-2014,703.968,,,
09-11-2014,92.52,,,
09-11-2014,62.65,,,
09-11-2014,94.85,,,
12-07-2016,95.76,,,
27-10-2016,40.2,,,
26-06-2016,14.7,,,
26-06-2016,704.25,,,
06-10-2014,9.09,,,
22-07-2014,5.96,,,
22-07-2014,159.98,,,
10-06-2017,29.6,,,
10-06-2017,514.165,,,
10-06-2017,279.96,,,
29-10-2014,2735.952,,,
09-06-2014,7.992,,,
09-06-2014,63.984,,,
09-06-2014,70.368,,,
14-09-2014,449.15,,,
14-09-2014,11.07,,,
09-05-2016,93.98,,,
18-03-2016,189.882,,,
27-12-2015,105.42,,,
25-07-2016,119.616,,,
25-07-2016,255.76,,,
25-07-2016,241.568,,,
25-07-2016,69.3,,,
30-05-2016,22.62,,,
30-05-2016,14.952,,,
30-05-2016,801.568,,,
30-05-2016,2.376,,,
30-05-2016,32.792,,,
12-11-2017,15.92,,,
16-03-2015,2.74,,,
16-03-2015,8.34,,,
16-03-2015,46.74,,,
16-03-2015,6354.95,,,
26-11-2017,126.3,,,
26-11-2017,38.04,,,
20-10-2016,7.152,,,
21-12-2017,6.63,,,
21-12-2017,5.88,,,
22-01-2017,2999.95,,,
22-01-2017,51.45,,,
22-01-2017,11.96,,,
22-01-2017,1126.02,,,
22-03-2015,18.392,,,
22-03-2015,129.568,,,
22-03-2015,14.112,,,
23-01-2017,210.98,,,
21-05-2016,55.176,,,
21-05-2016,66.26,,,
26-12-2015,22.2,,,
21-10-2017,683.952,,,
21-10-2017,45.696,,,
03-09-2015,36.336,,,
03-09-2015,666.248,,,
03-09-2015,52.512,,,
07-11-2015,190.72,,,
07-09-2017,47.94,,,
29-05-2016,979.95,,,
29-05-2016,22.75,,,
10-07-2016,16.768,,,
03-09-2017,42.616,,,
03-12-2015,10.752,,,
07-12-2015,152.94,,,
07-12-2015,283.92,,,
01-02-2014,468.9,,,
14-07-2016,380.864,,,
18-12-2015,646.776,,,
11-05-2014,58.112,,,
11-05-2014,100.792,,,
11-05-2014,66.112,,,
19-11-2017,41.28,,,
19-11-2017,13.36,,,
15-11-2015,250.272,,,
15-11-2015,11.364,,,
15-11-2015,8.72,,,
15-04-2016,1121.568,,,
11-09-2017,34.504,,,
24-11-2017,10.824,,,
29-06-2017,1295.78,,,
03-03-2014,19.456,,,
10-06-2016,20.7,,,
10-06-2016,1335.68,,,
10-06-2016,32.4,,,
20-11-2017,42.6,,,
20-11-2017,84.056,,,
14-09-2014,13,,,
14-09-2014,13.128,,,
07-12-2015,3.96,,,
07-12-2015,2.61,,,
07-12-2017,374.376,,,
01-10-2017,91.84,,,
01-10-2017,81.088,,,
01-10-2017,19.44,,,
01-10-2017,451.152,,,
28-12-2017,72.45,,,
28-12-2017,13.96,,,
28-12-2017,33.264,,,
28-12-2017,14.85,,,
03-11-2016,8.82,,,
18-09-2015,160.72,,,
18-09-2015,19.92,,,
18-09-2015,7.3,,,
20-07-2017,69.712,,,
20-07-2017,8.792,,,
10-09-2015,51.52,,,
01-12-2017,470.376,,,
01-12-2017,105.584,,,
01-12-2017,31.152,,,
01-12-2017,6.783,,,
01-12-2017,406.368,,,
03-07-2015,70.98,,,
03-07-2015,294.93,,,
20-03-2016,84.784,,,
20-03-2016,20.736,,,
20-03-2016,16.821,,,
20-03-2016,10.368,,,
09-01-2014,9.344,,,
09-01-2014,31.2,,,
08-08-2014,76.12,,,
08-08-2014,1199.976,,,
08-08-2014,445.96,,,
08-08-2014,327.76,,,
14-07-2016,11.632,,,
16-07-2016,143.982,,,
16-07-2016,494.376,,,
16-07-2016,5.84,,,
15-03-2014,142.776,,,
15-03-2014,45.696,,,
15-03-2014,7.218,,,
15-03-2014,43.188,,,
15-03-2014,131.904,,,
23-05-2014,3.282,,,
23-05-2014,21.168,,,
23-05-2014,55.188,,,
28-04-2016,369.576,,,
28-04-2016,15.712,,,
11-09-2016,8.448,,,
11-09-2016,728.946,,,
14-11-2017,119.94,,,
14-11-2017,3.648,,,
18-08-2017,40.48,,,
18-08-2017,9.94,,,
18-08-2017,107.424,,,
18-08-2017,37.91,,,
18-08-2017,88.02,,,
26-12-2014,8.69,,,
29-11-2015,301.96,,,
29-11-2015,555.21,,,
29-11-2015,523.48,,,
29-11-2015,161.82,,,
15-09-2017,35.56,,,
19-05-2017,97.16,,,
17-12-2017,15.24,,,
17-12-2017,13.23,,,
11-12-2016,243.384,,,
11-12-2016,119.8,,,
11-12-2016,300.768,,,
24-09-2017,17.88,,,
24-09-2017,235.944,,,
04-10-2015,392.94,,,
15-08-2016,18.882,,,
15-08-2016,122.328,,,
20-05-2016,1049.2,,,
20-05-2016,15.424,,,
18-12-2016,18.84,,,
30-07-2017,330.4,,,
30-07-2017,26.25,,,
10-06-2017,132.52,,,
21-07-2017,6.48,,,
30-12-2017,209.3,,,
01-04-2016,31.56,,,
01-04-2016,30.144,,,
11-12-2016,14.8,,,
11-12-2016,302.376,,,
11-12-2016,316,,,
23-10-2016,379.4,,,
19-06-2017,97.82,,,
19-06-2017,103.12,,,
22-08-2016,113.552,,,
22-08-2016,3.318,,,
22-08-2016,134.288,,,
19-09-2016,701.372,,,
19-09-2016,2.308,,,
24-08-2015,999.432,,,
24-08-2015,724.08,,,
24-08-2015,918.785,,,
24-08-2015,2.724,,,
26-03-2016,459.95,,,
04-11-2016,10.74,,,
08-06-2017,23.76,,,
08-06-2017,85.056,,,
08-06-2017,381.576,,,
24-12-2014,30.36,,,
09-06-2017,23.976,,,
09-06-2017,108.925,,,
09-06-2017,36.352,,,
15-06-2017,19.56,,,
05-12-2017,61.44,,,
05-12-2017,38.9,,,
05-12-2017,99.39,,,
18-03-2017,2.688,,,
18-03-2017,27.816,,,
18-03-2017,82.524,,,
18-03-2017,182.994,,,
19-11-2016,14.352,,,
19-11-2016,64.96,,,
19-11-2016,68.6,,,
04-11-2017,7999.98,,,
04-11-2017,167.44,,,
05-07-2014,479.97,,,
05-07-2014,14.62,,,
05-07-2014,19.44,,,
25-12-2017,191.984,,,
21-06-2014,104.01,,,
21-06-2014,284.82,,,
21-06-2014,36.84,,,
28-03-2015,166.24,,,
28-03-2015,33.4,,,
14-05-2015,198.272,,,
14-05-2015,47.36,,,
14-05-2015,200.984,,,
14-05-2015,97.696,,,
14-05-2015,2.696,,,
14-05-2015,18.588,,,
14-05-2015,4.896,,,
02-09-2017,15.072,,,
04-11-2016,209.88,,,
09-04-2015,369.912,,,
12-09-2014,10.368,,,
12-09-2014,166.84,,,
12-09-2014,15.216,,,
02-12-2014,119.96,,,
02-12-2014,883.92,,,
02-12-2014,46.72,,,
05-04-2014,55.48,,,
03-09-2017,24.448,,,
19-05-2017,281.34,,,
19-05-2017,307.98,,,
19-05-2017,299.97,,,
01-07-2014,19.92,,,
11-01-2014,9.94,,,
24-09-2017,103.056,,,
02-06-2014,59.808,,,
02-06-2014,73.32,,,
13-02-2016,146.82,,,
15-12-2016,1652.94,,,
15-12-2016,296.37,,,
07-10-2014,129.92,,,
07-07-2016,45.584,,,
16-09-2017,17.568,,,
16-09-2017,55.992,,,
03-12-2016,182.72,,,
03-12-2016,400.032,,,
03-12-2016,33.63,,,
03-12-2016,542.646,,,
03-12-2016,6.3,,,
21-01-2017,242.94,,,
21-01-2017,179.97,,,
21-01-2017,99.696,,,
21-01-2017,27.936,,,
21-01-2017,84.98,,,
21-01-2017,18.72,,,
08-09-2014,49.98,,,
04-01-2014,11.784,,,
04-01-2014,272.736,,,
04-01-2014,3.54,,,
27-08-2016,51.52,,,
27-08-2016,3.528,,,
27-08-2016,4.624,,,
27-08-2016,55.168,,,
27-05-2014,567.12,,,
27-05-2014,359.32,,,
20-03-2016,11.992,,,
02-10-2017,58.05,,,
02-10-2017,157.74,,,
02-10-2017,56.98,,,
02-10-2017,2.88,,,
07-04-2016,1199.976,,,
07-12-2015,79.92,,,
18-09-2016,383.438,,,
29-12-2014,24.56,,,
29-12-2014,119.8,,,
23-07-2017,13.128,,,
18-09-2017,22.72,,,
31-08-2015,58.32,,,
03-11-2017,12.39,,,
08-02-2015,107.982,,,
13-01-2014,11.36,,,
13-01-2014,50.94,,,
13-01-2014,646.74,,,
13-01-2014,5.64,,,
13-01-2014,572.58,,,
14-05-2014,310.88,,,
19-05-2016,641.96,,,
30-01-2017,18.28,,,
30-01-2017,207,,,
30-01-2017,32.35,,,
30-01-2017,7.71,,,
30-01-2017,40.3,,,
30-01-2017,34.58,,,
29-06-2014,32.76,,,
21-08-2015,544.008,,,
21-08-2015,59.94,,,
21-08-2015,23.92,,,
21-08-2015,4.28,,,
03-10-2015,32.07,,,
03-10-2015,24,,,
03-10-2015,35.49,,,
03-10-2015,47.984,,,
23-05-2015,186.69,,,
17-03-2017,17.456,,,
12-12-2015,348.928,,,
26-06-2015,143.96,,,
26-06-2015,15.42,,,
26-06-2015,43.04,,,
26-06-2015,332.94,,,
20-05-2016,1363.96,,,
20-09-2014,9.96,,,
20-09-2014,21.72,,,
21-09-2017,20.16,,,
24-12-2015,132.79,,,
24-12-2015,12.96,,,
24-12-2015,21.56,,,
27-11-2015,283.92,,,
20-02-2017,22.23,,,
20-02-2017,215.968,,,
18-08-2016,355.32,,,
12-03-2016,12.96,,,
22-04-2017,18.28,,,
01-11-2014,43.176,,,
01-11-2014,1983.968,,,
03-02-2015,28.4,,,
03-02-2015,149.97,,,
13-10-2014,11.52,,,
13-10-2014,1298.55,,,
13-10-2014,213.92,,,
13-10-2014,25.78,,,
14-05-2017,18.28,,,
14-05-2017,1399.93,,,
20-03-2015,51.84,,,
15-09-2016,5.344,,,
28-06-2014,41.472,,,
28-06-2014,3.168,,,
28-06-2014,1228.465,,,
28-06-2014,31.086,,,
28-06-2014,335.52,,,
20-06-2017,239.97,,,
20-06-2017,9.82,,,
09-05-2014,67.8,,,
09-05-2014,167.97,,,
21-08-2017,35,,,
21-08-2017,37.24,,,
21-08-2017,15.28,,,
16-06-2017,301.96,,,
16-06-2017,180.66,,,
16-06-2017,191.98,,,
16-06-2017,65.99,,,
23-07-2016,35.216,,,
23-07-2016,23.696,,,
23-07-2016,265.475,,,
08-09-2014,51.184,,,
04-11-2017,9.664,,,
07-03-2016,21.072,,,
20-11-2015,60.45,,,
20-11-2015,11.52,,,
20-11-2015,186.048,,,
07-11-2016,37.44,,,
07-11-2016,26.976,,,
07-11-2016,11.36,,,
07-11-2016,14.62,,,
13-10-2015,83.72,,,
13-10-2015,287.94,,,
01-01-2017,48.896,,,
07-02-2014,115.36,,,
20-06-2016,5.16,,,
20-06-2016,38.88,,,
28-05-2016,185.88,,,
19-02-2016,44.46,,,
19-02-2016,242.94,,,
03-08-2014,39.96,,,
03-08-2014,102.3,,,
03-08-2014,21.36,,,
10-04-2017,7.61,,,
10-04-2017,7.16,,,
09-06-2014,7.36,,,
09-06-2014,23.1,,,
05-01-2016,191.472,,,
05-01-2016,5.248,,,
05-01-2016,59.184,,,
10-01-2014,2.89,,,
10-01-2014,51.94,,,
29-09-2016,15.936,,,
06-04-2014,44.91,,,
03-09-2016,1141.47,,,
03-09-2016,280.782,,,
19-10-2015,34.44,,,
10-12-2014,11.36,,,
10-12-2014,106.344,,,
25-08-2017,192.16,,,
17-01-2016,322.59,,,
17-01-2016,29.99,,,
17-01-2016,371.97,,,
17-09-2014,5.892,,,
30-11-2017,68.472,,,
30-11-2017,1242.9,,,
09-10-2015,30.84,,,
23-12-2017,13.48,,,
22-10-2016,31.4,,,
29-04-2014,17.46,,,
25-04-2015,13.944,,,
26-06-2017,83.76,,,
14-10-2017,37.66,,,
09-12-2014,34.68,,,
20-06-2017,149.95,,,
20-06-2017,51.312,,,
26-06-2017,4.54,,,
26-06-2017,15.92,,,
26-06-2017,543.92,,,
10-11-2016,155.82,,,
10-11-2016,70.008,,,
03-10-2016,15.648,,,
09-09-2014,103.6,,,
29-10-2017,46.96,,,
10-04-2016,8.904,,,
11-11-2017,10.44,,,
11-11-2017,18.336,,,
15-09-2017,323.976,,,
08-04-2016,20.04,,,
08-04-2016,64.96,,,
08-04-2016,12.96,,,
30-12-2017,323.136,,,
30-12-2017,90.93,,,
30-12-2017,52.776,,,
02-09-2017,1199.8,,,
02-09-2017,1928.78,,,
02-09-2017,352.38,,,
31-05-2015,22.2,,,
27-11-2017,46.94,,,
27-11-2017,143.73,,,
15-06-2014,99.918,,,
15-06-2014,797.944,,,
15-06-2014,8.568,,,
05-03-2016,149.352,,,
05-03-2016,12.992,,,
05-12-2014,24.56,,,
11-04-2015,85.14,,,
11-04-2015,21.99,,,
11-04-2015,406.6,,,
15-09-2016,841.568,,,
13-09-2014,15.552,,,
13-09-2014,252,,,
05-10-2015,46.2,,,
05-10-2015,28.84,,,
14-04-2017,14.592,,,
14-04-2017,89.856,,,
14-04-2017,13.872,,,
02-09-2017,12.192,,,
20-06-2016,45.056,,,
20-06-2016,29.718,,,
20-06-2016,15.552,,,
20-06-2016,447.696,,,
05-11-2017,159.99,,,
13-12-2015,12.96,,,
13-12-2015,134.48,,,
19-06-2016,17.12,,,
13-12-2016,6.096,,,
13-12-2016,1114.272,,,
29-05-2015,32.4,,,
29-05-2015,540.57,,,
29-05-2015,167.76,,,
26-07-2015,393.165,,,
28-11-2017,516.488,,,
28-11-2017,1007.232,,,
28-11-2017,2065.32,,,
28-11-2017,15.552,,,
28-11-2017,25.344,,,
03-04-2017,25.472,,,
28-12-2017,27.168,,,
28-12-2017,78.8528,,,
30-11-2017,173.8,,,
15-05-2017,29.592,,,
15-05-2017,4.752,,,
15-05-2017,15.552,,,
22-09-2015,204.6,,,
14-11-2017,321.568,,,
27-11-2015,6.24,,,
01-09-2016,21.88,,,
22-09-2014,4.608,,,
09-04-2017,9.82,,,
09-04-2017,35.97,,,
09-04-2017,12.96,,,
09-04-2017,191.6,,,
09-04-2017,8.64,,,
09-04-2017,501.81,,,
16-01-2014,127.104,,,
16-01-2014,124.2,,,
16-01-2014,18.588,,,
16-01-2014,30.072,,,
05-10-2017,160.93,,,
05-10-2017,75.792,,,
09-07-2017,1.08,,,
07-01-2017,3059.982,,,
30-05-2016,3.282,,,
09-12-2015,34.02,,,
03-10-2016,599.292,,,
11-11-2014,3.392,,,
11-11-2014,559.984,,,
11-11-2014,603.92,,,
29-09-2017,7.968,,,
29-09-2017,27.968,,,
29-09-2017,336.51,,,
10-03-2015,1.112,,,
21-05-2017,520.05,,,
21-05-2017,17.97,,,
29-03-2015,1166.92,,,
09-09-2016,14.624,,,
26-08-2016,10.23,,,
26-08-2016,154.9,,,
21-05-2014,2715.93,,,
